"Source","Category of Data","Details to Extract","How to Extract (Command / API / Method)","Native Export Format","What to Download (Record Set)","How to Download","RDBMS Table Name","RDBMS Schema & Column Types","Vulnerability / Audit Check Criteria","MITRE ATT&CK Mapping","MITRE D3FEND Mapping","Tool Limitations & Analysis Notes"
"HashiCorp Vault","Access Control","ACL Policies","vault policy list && vault policy read <policy_name>","HCL / JSON","Policy Name, Rules (Path, Capabilities: create, read, update, delete, list, sudo, deny, Allowed/Denied Parameters)","CLI: vault policy list -format=json && vault policy read <name> -format=json OR API GET /v1/sys/policies/acl","vault_acl_policies","policy_name VARCHAR(128) PRIMARY KEY, path_pattern VARCHAR(256), capabilities JSONB, allowed_parameters JSONB, raw_hcl TEXT","Scan policy definitions for wildcard write/sudo privileges (e.g. path 'secret/data/*' with capability 'write' or 'sudo').","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-POA (Policy Access Control), D3-IAM (Identity & Access Management)","Requires Vault Token with 'sys/policies/acl' read permissions. Parse HCL into structured paths for automated evaluation."
"HashiCorp Vault","Auditing & Logging","Active Audit Devices","vault audit list -format=json","JSON","Audit Device Path, Type (file, syslog, socket), Description, Options (file_path, prefix, log_raw, format)","CLI: vault audit list -format=json OR API GET /v1/sys/audit","vault_audit_devices","device_path VARCHAR(128) PRIMARY KEY, type VARCHAR(32), description TEXT, options JSONB, is_active BOOLEAN","Ensure system audit logging is enabled and outputs to secure remote logging endpoints (e.g., Syslog or immutable file).","T1562.001 (Impair Defenses)","D3-AL (Auditing and Logging)","If no audit device is enabled, Vault drops all request/response audit trails. Requires 'sys/audit' read privileges."
"BeyondTrust","Privileged Access Management","Checked-out Privileged Accounts & Active RDP/SSH Sessions","API Call: GET https://beyondtrust.company.lan/api/v1/active-sessions","JSON","SessionId, UserID, AccountName, SystemName, Protocol (RDP/SSH), StartTime, MaxCheckoutDuration, TicketNumber, AccessType, Status","API: GET /api/v1/active-sessions & GET /api/v1/requests (Auth via OAuth Token / API Key header)","beyondtrust_active_sessions","session_id VARCHAR(128) PRIMARY KEY, user_id VARCHAR(64), account_name VARCHAR(128), target_system VARCHAR(128), protocol VARCHAR(16), start_time TIMESTAMP, max_duration_mins INT, ticket_number VARCHAR(64), status VARCHAR(32)","Check for checked-out credentials that have exceeded maximum check-out window or active sessions operating without matching ITSM ticket numbers.","T1078 (Valid Accounts), T1021 (Remote Services)","D3-PAM (Privileged Access Management), D3-SBM (Session Behavior Monitoring)","Requires REST API User with 'Audit Reader' / 'Session Manager' role in BeyondTrust PasswordSafe / Privileged Remote Access."
"SailPoint","Identity Governance","Identity Entitlement Profiles & Mappings","API Call: GET https://tenant.api.identitynow.com/v3/public-identities","JSON","Identity ID, Name, Email, LifecycleState (Active, Terminated), JobTitle, Entitlements (Source, Attribute, Value), CertificationStatus","API: GET /v3/public-identities & GET /v3/entitlement-assignments (OAuth2 Bearer Token)","sailpoint_identities","identity_id VARCHAR(128) PRIMARY KEY, name VARCHAR(128), email VARCHAR(128), lifecycle_state VARCHAR(32), title VARCHAR(128), entitlements JSONB, last_certification_date TIMESTAMP","Identify users retaining administrative roles ('AWS-Admin', 'Domain-Admin') who are marked as terminated in HR databases or have failed entitlement recertifications.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-UAR (User Access Recertification)","Requires IdentityNow API Personal Access Token (PAT) with 'idn:identity:read' and 'idn:entitlement:read' scopes."
"Active Directory","Identity & Access Management","User Object Attributes & Domain Group Memberships","Get-ADUser -Filter * -Properties MemberOf, PasswordLastSet, PasswordNeverExpires | ConvertTo-Json","JSON / CSV","SamAccountName, DistinguishedName, Enabled, PasswordLastSet, PasswordNeverExpires, LastLogonDate, MemberOf (Group DNs), UserAccountControl","PowerShell: Get-ADUser -Filter * -Properties MemberOf, PasswordLastSet, PasswordNeverExpires, LastLogonDate, Enabled | ConvertTo-Json OR LDAP Query","ad_users","sam_account_name VARCHAR(128) PRIMARY KEY, dn VARCHAR(512), enabled BOOLEAN, password_last_set TIMESTAMP, password_never_expires BOOLEAN, last_logon_date TIMESTAMP, member_of JSONB, uac_flags INT","Scan for active accounts with 'PasswordNeverExpires = True' or members in privileged groups (e.g., Domain Admins) who are not actively used.","T1078 (Valid Accounts), T1201 (Password Policy Discovery), T1069 (Group Discovery)","D3-IAM (Identity & Access Management), D3-PMP (Password Management Policy)","Large AD environments require pagination (-ResultPageSize 1000) or Active Directory PowerShell Module installed on collector host."
"Active Directory","Group Policy Object Configuration","GPO Backup Files & Registry Mappings","Get-GPOReport -All -ReportType Xml -Path C:\gpo_backup\report.xml","XML / JSON","GPO ID, DisplayName, SecurityFiltering, ExtensionData (Registry Settings: LSA Protection, ScriptBlockLogging, PowerShell Transcription, LM Compatibility)","PowerShell: Get-GPOReport -All -ReportType Xml -Path C:\gpo_backup\report.xml OR Backup-GPO -All -Path <dir>","ad_gpo_reports","gpo_id VARCHAR(128) PRIMARY KEY, gpo_name VARCHAR(256), gpo_status VARCHAR(32), lsa_protection_enabled BOOLEAN, ps_transcription_enabled BOOLEAN, ps_scriptblock_logging BOOLEAN, lm_hash_level INT, raw_xml TEXT","Check for missing GPO configurations, such as missing LSA protection, disabled PowerShell transcriptions, or LM hashing compatibility enabled.","T1484.001 (Group Policy Modification), T1562 (Impair Defenses)","D3-SPH (System Policy Hardening), D3-GPO (Group Policy Enforcement)","Requires RSAT GPMC tools installed. XML report must be parsed via XPath or converted to JSON before ingestion."
"Entra ID","Identity & Access Management","Directory Role Assignments","API Call: GET https://graph.microsoft.com/v1.0/roleManagement/directory/roleAssignments","JSON","AssignmentId, RoleDefinitionId, RoleDisplayName, PrincipalId, PrincipalDisplayName, UserPrincipalName, PrincipalType (User, Guest, ServicePrincipal)","API: GET /v1.0/roleManagement/directory/roleAssignments?$expand=principal,roleDefinition (OAuth2 App Registration)","entra_role_assignments","assignment_id VARCHAR(128) PRIMARY KEY, role_definition_id VARCHAR(128), role_name VARCHAR(128), principal_id VARCHAR(128), principal_name VARCHAR(128), principal_type VARCHAR(32), is_guest BOOLEAN","Identify standard users, guest accounts, or service principals assigned critical administrative roles (Global Administrator, User Administrator).","T1098 (Account Manipulation), T1078 (Valid Accounts)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Requires Microsoft Graph App Permission 'RoleManagement.Read.Directory'. Does not include Azure RBAC (sub-level) roles."
"Entra ID Protection","Threat Detection","User Identity Risk Detections","API Call: GET https://graph.microsoft.com/v1.0/identityProtection/riskDetections","JSON","RiskId, UserPrincipalName, RiskState (atRisk, confirmedCompromised, remediated), RiskLevel (low, medium, high), RiskEventType, DetectionTiming, Source","API: GET /v1.0/identityProtection/riskDetections OR GET /v1.0/identityProtection/riskyUsers","entra_risk_detections","risk_id VARCHAR(128) PRIMARY KEY, user_principal_name VARCHAR(128), risk_state VARCHAR(32), risk_level VARCHAR(16), risk_event_type VARCHAR(128), detection_time TIMESTAMP, source VARCHAR(64)","Identify user accounts with un-remediated risk levels of Medium or High, suggesting active token hijacking or credential leaks.","T1110 (Brute Force), T1539 (Steal Web Session Cookie), T1078 (Valid Accounts)","D3-UEBA (User & Entity Behavior Analytics), D3-ITA (Identity Threat Analysis)","Requires Microsoft Entra ID P2 license and Graph Permission 'IdentityRiskValue.Read.All'."
"Defender for Identity","Threat Detection","Domain Security Alerts & Event Detections","API Call: GET https://graph.microsoft.com/v1.0/security/alerts","JSON","AlertId, Title, Severity (Informational, Low, Medium, High), Category, Status (New, InProgress, Resolved), Evidence (UserAccount, Computer, IPAddress), MitreTechniques","API: GET /v1.0/security/alerts?$filter=vendorInformation/provider eq 'Defender for Identity' OR MS Defender XDR API","defender_identity_alerts","alert_id VARCHAR(128) PRIMARY KEY, title VARCHAR(256), severity VARCHAR(16), category VARCHAR(64), status VARCHAR(32), impacted_user VARCHAR(128), impacted_computer VARCHAR(128), mitre_techniques JSONB","Verify all Active Directory-level threat detections (e.g. Kerberoasting, Golden Ticket, DCSync) are actively reviewed and marked as closed.","T1558 (Steal or Forge Kerberos Tickets), T1003.006 (DCSync)","D3-ANOM (Anomaly Detection), D3-ITA (Identity Threat Analysis)","Requires MDI Sensor deployment on Domain Controllers and Graph Permission 'SecurityAlert.Read.All'."
"Wiz.io CSPM","Vulnerability Management","Toxic Combination Configuration Issues","API Query: POST https://api.wiz.io/graphql","JSON","IssueId, Title, Severity (HIGH, CRITICAL), Status (OPEN, RESOLVED), EntityId, EntityName, EntityType, Categories (Exposed Secret + Public IP)","GraphQL API Query: POST https://api.wiz.io/graphql with OAuth2 bearer token obtained from https://auth.wiz.io/oauth/token","wiz_issues","issue_id VARCHAR(128) PRIMARY KEY, title VARCHAR(256), severity VARCHAR(16), status VARCHAR(32), entity_id VARCHAR(128), entity_name VARCHAR(128), entity_type VARCHAR(64), toxic_combination_tags JSONB","Verify there are zero open high/critical issues, specifically looking for VMs containing exposed secrets and public network routes.","T1190 (Exploit Public-Facing Application), T1552 (Unsecured Credentials)","D3-CHA (Cloud Hygiene Assessment), D3-CVA (Configuration Vulnerability Assessment)","Requires Wiz Client ID & Client Secret with read access to Issues and Cloud Graph."
"Control Libraries","Compliance Standards","CIS Baseline Reports & System Checklists","CIS-CAT tool runs or custom JSON checklist reports","XML / JSON / CSV","BenchmarkID, Version, TargetHost, RuleID, RuleTitle, Result (PASS, FAIL, ERROR, NOT_CHECKED), ImpactScore, Rationale","CLI: cis-cat-full.sh / cis-cat.bat -r <out_dir> OR OpenSCAP: oscap xccdf eval --report report.html","compliance_benchmark_reports","report_id VARCHAR(128) PRIMARY KEY, host_id VARCHAR(128), benchmark_name VARCHAR(128), rule_id VARCHAR(128), rule_title VARCHAR(256), result VARCHAR(16), impact_score INT, failed_reason TEXT","Identify host and network platforms where system configuration drifts from established hardening frameworks (CIS Benchmarks).","M1047 (Audit), M1028 (Operating System Hardening), M1026 (Privileged Account Management)","D3-SPH (System Policy Hardening), D3-SCA (Security Control Auditing)","CIS-CAT Pro requires active CIS membership / license. OpenSCAP is open-source alternative for RHEL/Linux."
"EDR / OS Logs","Host Activity Telemetry","Process Execution & CommandLine Logs","Windows Event Log ID 4688 / Sysmon Event ID 1","EVTX / JSON / CEF","EventID, TimeCreated, Computer, ProcessId, NewProcessName (cmd.exe, powershell.exe), ParentProcessName (winword.exe, w3wp.exe), CommandLine, User","PowerShell: Get-WinEvent -FilterHashtable @{LogName='Security';ID=4688} OR EDR API / Windows Event Forwarding (WEF)","edr_process_events","event_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), timestamp TIMESTAMP, process_name VARCHAR(256), parent_process VARCHAR(256), command_line TEXT, user_account VARCHAR(128), is_suspicious BOOLEAN","Scan for instances of cmd.exe or powershell.exe spawned directly by office products (Word, Excel) or web servers (IIS, Apache).","T1059.001 (PowerShell), T1059.003 (Windows Command Shell), T1204 (User Execution)","D3-PSA (Process Segment Analysis), D3-PEA (Process Execution Analysis)","Win Event 4688 requires 'Include command line in process creation events' GPO policy enabled. Sysmon provides MD5/SHA256 hashes."
"EDR / OS Logs","Host Activity Telemetry","Script Block Logging & Script telemetry","Windows Event Log ID 4104 (PowerShell Script Block)","EVTX / JSON / CEF","EventID, TimeCreated, Computer, ScriptBlockId, ScriptBlockText, Path, User, Message, IsEncodedFlag","PowerShell: Get-WinEvent -FilterHashtable @{LogName='Microsoft-Windows-PowerShell/Operational';ID=4104} OR SIEM Collector","edr_powershell_scriptblocks","event_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), timestamp TIMESTAMP, script_block_id VARCHAR(128), script_content TEXT, user_account VARCHAR(128), contains_obfuscation BOOLEAN","Identify commands containing base64 obfuscation ('-enc', '-encodedcommand') or bypassing security execution policies ('bypass').","T1059.001 (PowerShell), T1027 (Obfuscated Files or Information)","D3-SBA (Script Block Analysis), D3-SAA (Script Analysis & Auditing)","Script Block Logging must be enabled via GPO ('Turn on PowerShell Script Block Logging'). De-obfuscation pipeline needed for deep analysis."
"EDR / OS Logs","Auditing & Logging","Registry & System File Auditing Logs","Windows Event ID 4657 / Sysmon Event ID 13","EVTX / JSON / CEF","EventID, TimeCreated, Computer, ProcessName, TargetObject (Registry Key / LSASS Process Handle), Details, OperationType, User","PowerShell: Get-WinEvent -FilterHashtable @{LogName='Security';ID=4657} OR Sysmon log stream via SIEM","edr_registry_file_audits","event_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), timestamp TIMESTAMP, process_name VARCHAR(256), target_object VARCHAR(512), operation_type VARCHAR(32), user_account VARCHAR(128)","Monitor attempts by non-system processes to read LSASS process memory or modify logon helper DLL registry keys.","T1003.001 (LSASS Memory), T1547.001 (Registry Run Keys), T1547.005 (Security Support Provider)","D3-MMP (Memory Protection), D3-RMA (Registry Modification Analysis)","Requires SACL auditing enabled on sensitive registry paths (e.g., LSA, Winlogon, Run keys) or Sysmon configuration file deployed."
