"Status","Source","Category of Data","Blast Radius Metric / Target Entity","Details to Extract (Blast Radius Focus)","How to Extract (Command / API / Method)","Native Export Format","What to Download (Record Set)","How to Download","RDBMS Table Name","RDBMS Schema & Column Types (Including New Blast Radius Fields)","Vulnerability / Audit Check Criteria","Blast Radius & Downstream Impact Calculation Criteria","MITRE ATT&CK Mapping","MITRE D3FEND Mapping","Blast Radius Tool Capabilities & Gap Notes"
"NEW","GCP","Asset Topology & Host Inventory","Compute Instances & Service Accounts","Instance ID, Internal IP, External IP, NetworkInterfaces, ServiceAccountScopes, Tags, VPC Network","gcloud compute instances list --format=json","JSON","Compute instances, Internal/External IPs, Service Account scopes, Disks, Network Tags","CLI: gcloud compute instances list --format=json OR Compute API","gcp_compute_instances","instance_id VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), instance_name VARCHAR(128), internal_ip VARCHAR(32), external_ip VARCHAR(32), network_name VARCHAR(128), service_account_email VARCHAR(128), scopes JSONB, tags JSONB","Identify public instances attached to default Service Accounts with 'cloud-platform' full access scopes.","Count of GCP projects and resources reachable via instance metadata service account token theft.","T1078 (Valid Accounts), T1552.005 (Cloud Instance Metadata API)","D3-NI (Network Ingress Filtering), D3-POA (Policy Access Control)","Requires 'compute.instances.list' across all GCP projects in organization."
"CHANGED","GCP","Identity & Access Management","IAM Policy & Service Account Keys","Project/Folder IAM Bindings, ServiceAccountKeys, ImpersonationPermissions, InheritedPolicies","gcloud projects get-iam-policy <p_id> --format=json && gcloud iam service-accounts list --format=json","JSON","IAM Bindings, Service Accounts, User/Group Memberships, Service Account Key IDs, Impersonation Roles","CLI: gcloud projects get-iam-policy --format=json && gcloud iam service-accounts keys list --iam-account <sa>","gcp_iam_bindings","binding_id VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), role VARCHAR(128), member_type VARCHAR(32), member_email VARCHAR(128), sa_keys JSONB, impersonation_roles JSONB, is_external_gmail BOOLEAN","Identify wildcard bindings or external Gmail accounts assigned Editor or Owner roles at project root.","Calculate reachable projects via service account token creation ('roles/iam.serviceAccountTokenCreator') and key export.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Added 'sa_keys' and 'impersonation_roles' to evaluate service account impersonation blast radius."
"CHANGED","GCP","Network Configuration","VPC Firewalls & Network Peerings","Firewall Rules, SourceRanges, Allowed Ports, VPC Peerings, PeerNetwork, ExportRoutes","gcloud compute firewall-rules list --format=json && gcloud compute networks peerings list --format=json","JSON","VPC Firewall Rules, Network Peerings, AutoCreateRoutes flags, Target Service Accounts","CLI: gcloud compute firewall-rules list --format=json && gcloud compute networks peerings list --format=json","gcp_firewall_rules","rule_id VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), rule_name VARCHAR(128), direction VARCHAR(16), action VARCHAR(16), priority INT, source_ranges JSONB, allowed_ports JSONB, peer_networks JSONB, target_service_accounts JSONB","Check for firewall rules with 'sourceRanges' set to '0.0.0.0/0' combined with port 22 or 3389 open.","Map cross-VPC blast radius enabled by VPC Network Peering and shared VPC host projects.","T1190 (Exploit Public-Facing Application), T1021.001/002 (SSH/RDP)","D3-NI (Network Ingress Filtering), D3-FBR (Firewall Rule Analysis)","Added 'peer_networks' and 'target_service_accounts' to compute network propagation bounds."
"NEW","GCP","Data Storage & BigQuery","Cloud Storage Buckets & BigQuery Datasets","BucketName, IAMPolicy, EncryptionKey, DatasetID, AccessEntries (Grants), DataClassification","gcloud storage buckets list --format=json && bq ls --format=json","JSON","GCS Buckets, IAM Policies, BigQuery Datasets, Dataset Access Entries, KMS Keys","CLI: gcloud storage buckets list --format=json && bq show --format=json <dataset_id>","gcp_storage_datasets","dataset_id VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), asset_type VARCHAR(32), asset_name VARCHAR(128), iam_policy JSONB, kms_key VARCHAR(256), is_public BOOLEAN, data_classification VARCHAR(32)","Identify GCS buckets or BigQuery datasets granted to 'allUsers' or 'allAuthenticatedUsers'.","Sum of PII/PHI analytics tables and storage objects readable by compromised IAM principal.","T1530 (Data from Cloud Storage Object), T1098 (Account Manipulation)","D3-DEC (Data Encryption), D3-POA (Policy Access Control)","BigQuery datasets require querying dataset-level access control entries."
"EXISTING","GCP","Auditing & Logging","Cloud Logging Sinks","Sink Name, Destination, Filter, WriterIdentity, Disabled","gcloud logging sinks list --format=json","JSON","Cloud Logging Sinks, Export destinations (PubSub/BigQuery/GCS), Filter rules","CLI: gcloud logging sinks list --format=json","gcp_logging_sinks","sink_name VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), destination VARCHAR(256), filter_text TEXT, writer_identity VARCHAR(128), is_disabled BOOLEAN","Verify project audit logs are actively streamed to a centralized sink for compliance auditing.","Blast radius scope: Identifies unmonitored GCP projects where log audit pipeline is broken.","T1562.001 (Impair Defenses)","D3-AL (Auditing & Logging)","Already existing in base spec; establishes audit boundary."
"NEW","HashiCorp Vault","Secrets Architecture","Secret Mounts & Token Accessors","Path, Type, Accessor, DisplayName, Policies, TTL, NumUses, BoundCIDRs, MaxTTL","vault secrets list -format=json && vault list auth/token/accessors -format=json","JSON","Secret Engine Mounts (KV, AWS, PKI, Database), Token Accessors, Token Policies, Bound CIDRs","CLI: vault secrets list -format=json && vault token lookup <accessor>","vault_secret_mounts","mount_path VARCHAR(128) PRIMARY KEY, engine_type VARCHAR(32) NOT NULL, default_lease_ttl INT, token_accessor VARCHAR(128), bound_cidrs JSONB, associated_policies JSONB","Identify dynamic secret engines (AWS, DB) bound to root/sudo policies without CIDR restrictions.","Count of external infrastructure engines (AWS accounts, SQL DBs) controlled via compromised Vault token.","T1552 (Unsecured Credentials), T1078 (Valid Accounts)","D3-POA (Policy Access Control), D3-PAM (Privileged Access Management)","Requires Vault token with 'sys/mounts' and 'auth/token/accessors' read permissions."
"CHANGED","HashiCorp Vault","Access Control","ACL Policy Path Traversal","Policy Name, Path Pattern, Capabilities, AllowedParameters, DeniedParameters, CrossMountPermissions","vault policy list -format=json && vault policy read <policy_name> -format=json","HCL / JSON","Policy Names, Path rules, Capabilities (create, read, update, delete, list, sudo), Allowed/Denied params","CLI: vault policy list -format=json && vault policy read <name> -format=json","vault_acl_policies","policy_name VARCHAR(128) PRIMARY KEY, path_pattern VARCHAR(256), capabilities JSONB, allowed_parameters JSONB, cross_mount_paths JSONB, raw_hcl TEXT","Scan policy definitions for wildcard write/sudo privileges (e.g. path 'secret/data/*' with capability 'write').","Traverse path rules to identify all secret engine KV paths and system settings accessible by policy.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-POA (Policy Access Control), D3-IAM (Identity & Access Management)","Added 'cross_mount_paths' to calculate cross-engine secret exposure radius."
"NEW","HashiCorp Vault","Identity Engine","Vault Entities & Groups","Entity ID, Entity Name, Associated Policies, Group Memberships, External Metadata, Aliases","vault list identity/entity/id -format=json && vault list identity/group/id -format=json","JSON","Vault Entities, Entity Aliases, Identity Groups (Internal/External), Inherited Policies","CLI: vault list identity/entity/id -format=json && vault read identity/entity/id/<id> -format=json","vault_identity_entities","entity_id VARCHAR(128) PRIMARY KEY, entity_name VARCHAR(128), entity_aliases JSONB, group_ids JSONB, inherited_policies JSONB, metadata JSONB","Identify external identity aliases (OIDC/LDAP) mapped to Vault entities holding root/sudo policy groups.","Total human and machine identities affected if a Vault Identity Group or OIDC alias is compromised.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Requires Vault identity engine read permissions (`identity/entity`, `identity/group`)."
"EXISTING","HashiCorp Vault","Server Settings","Server Hardening","Listener stanza, tls_disable, tls_cert_file, address, storage, disable_mlock","Local file read of 'vault.hcl' OR API GET /v1/sys/health","HCL / JSON","HCL config file, TLS listener state, mlock state, storage backend","File Read: /etc/vault.d/vault.hcl OR API GET /v1/sys/health","vault_server_configs","config_id VARCHAR(64) PRIMARY KEY, hostname VARCHAR(128), tls_disable BOOLEAN, disable_mlock BOOLEAN, storage_type VARCHAR(32), config_raw TEXT","Verify memory locking ('disable_mlock = false') is enabled and TLS listeners are enforced.","Blast radius scope: If mlock is disabled, Vault master key memory dumping impacts entire Vault instance.","T1552 (Unsecured Credentials), T1003 (OS Credential Dumping)","D3-MEN (Memory Encryption/Locking), D3-DEC (Data Encryption)","Already existing in base spec; defines memory & transport encryption boundary."
"EXISTING","HashiCorp Vault","Auditing & Logging","Audit Devices","Device Path, Type (file, syslog, socket), Description, Options (file_path, prefix, log_raw)","vault audit list -format=json","JSON","Audit Device Path, Type, Options, Log formatting","CLI: vault audit list -format=json","vault_audit_devices","device_path VARCHAR(128) PRIMARY KEY, type VARCHAR(32), description TEXT, options JSONB, is_active BOOLEAN","Ensure system audit logging is enabled and outputs to secure remote logging endpoints.","Blast radius scope: Unaudited Vault operations compromise forensic visibility across all secret engines.","T1562.001 (Impair Defenses)","D3-AL (Auditing & Logging)","Already existing in base spec; defines audit log completeness."
"NEW","BeyondTrust","Privileged Access Management","PAM Managed Asset & Account Inventory","SystemID, HostName, IPAddress, OperatingSystem, ManagedAccountNames, AccessType, AssetCriticality","API Call: GET https://beyondtrust.company.lan/api/v1/assets && GET /api/v1/managed-accounts","JSON","Managed Systems list, Host Names, IP Addresses, Operating Systems, Managed Accounts, Asset Criticality tags","API: GET /api/v1/assets & GET /api/v1/managed-accounts (Auth via OAuth Token)","beyondtrust_managed_assets","system_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), ip_address VARCHAR(32), os_type VARCHAR(64), managed_accounts JSONB, criticality_level VARCHAR(16)","Identify high-criticality assets (Domain Controllers, Payment Gateways) linked to shared PAM credentials.","Total count of servers and domain assets reachable using credentials stored in BeyondTrust vault.","T1078 (Valid Accounts), T1021 (Remote Services)","D3-PAM (Privileged Access Management), D3-SBM (Session Behavior Monitoring)","Requires REST API User with 'Asset Reader' role in BeyondTrust PasswordSafe."
"CHANGED","BeyondTrust","Privileged Access Management","PAM Checked-Out Sessions & Target IPs","SessionId, UserID, AccountName, SystemName, TargetIP, CheckedOutPasswordID, AssociatedITSMTicket, DownstreamHosts","API Call: GET https://beyondtrust.company.lan/api/v1/active-sessions","JSON","SessionId, UserID, AccountName, SystemName, Protocol, StartTime, MaxCheckoutDuration, TicketNumber, TargetIP, PasswordID","API: GET /api/v1/active-sessions & GET /api/v1/requests","beyondtrust_active_sessions","session_id VARCHAR(128) PRIMARY KEY, user_id VARCHAR(64), account_name VARCHAR(128), target_system VARCHAR(128), target_ip VARCHAR(32), checked_out_password_id VARCHAR(128), protocol VARCHAR(16), ticket_number VARCHAR(64), downstream_hosts JSONB","Check for checked-out credentials exceeding max checkout window or operating without matching ITSM ticket numbers.","Calculate lateral movement blast radius by joining checked-out credentials with downstream accessible systems.","T1078 (Valid Accounts), T1021 (Remote Services)","D3-PAM (Privileged Access Management), D3-SBM (Session Behavior Monitoring)","Added 'target_ip', 'checked_out_password_id', and 'downstream_hosts' to compute session blast radius."
"NEW","BeyondTrust","Access Control & Entitlements","PAM Smart Rule & User Entitlements","UserID, GroupID, ManagedAssetGroups, PasswordReleasePolicies, MaxCheckoutDuration, AllowedAccessTypes","API Call: GET https://beyondtrust.company.lan/api/v1/user-policy-assignments","JSON","User Policy Assignments, Smart Rules, Asset Group Permissions, Password Release Policies","API: GET /api/v1/user-policy-assignments","beyondtrust_user_policies","assignment_id VARCHAR(128) PRIMARY KEY, user_id VARCHAR(64), asset_group_name VARCHAR(128), password_policy_id VARCHAR(64), max_duration_mins INT, allowed_protocols JSONB","Identify PAM users assigned broad Smart Rules granting password release to all production server groups.","Count of systems where compromised PAM user can auto-request privileged administrator credentials.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-PAM (Privileged Access Management), D3-POA (Policy Access Control)","Requires PasswordSafe administrative policy API read permissions."
"CHANGED","SailPoint","Identity Governance","Identity Hierarchy & Direct Reports","Identity ID, Name, Email, LifecycleState, JobTitle, ManagerID, ManagerEmail, DirectReports, RiskScore","API Call: GET https://tenant.api.identitynow.com/v3/public-identities","JSON","Identity ID, Name, Email, LifecycleState, JobTitle, Manager ID, Direct Reports list, Composite Risk Score","API: GET /v3/public-identities & GET /v3/identities/{id}/managers","sailpoint_identities","identity_id VARCHAR(128) PRIMARY KEY, name VARCHAR(128), email VARCHAR(128), lifecycle_state VARCHAR(32), title VARCHAR(128), manager_id VARCHAR(128), direct_reports JSONB, risk_score INT, last_certification_date TIMESTAMP","Identify users retaining administrative roles who are marked as terminated in HR databases.","Blast radius scope: Identify all direct reports and subordinate access profiles impacted if manager account is breached.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-UAR (User Access Recertification)","Added 'manager_id', 'direct_reports', and 'risk_score' to evaluate organizational hierarchy blast radius."
"NEW","SailPoint","Identity Governance","Application Accounts & Target System Maps","AccountID, NativeIdentity, SourceName (AWS, AD, SAP, Salesforce), UncorrelatedFlag, DisabledFlag, Entitlements","API Call: GET https://tenant.api.identitynow.com/v3/accounts && GET /v3/sources","JSON","Application Accounts, Native Identities, Source Systems, Uncorrelated Account flags, Entitlement lists","API: GET /v3/accounts & GET /v3/sources","sailpoint_application_accounts","account_id VARCHAR(128) PRIMARY KEY, identity_id VARCHAR(128), native_identity VARCHAR(128), source_name VARCHAR(64), is_uncorrelated BOOLEAN, is_disabled BOOLEAN, entitlements JSONB","Identify uncorrelated ('orphan') application accounts on critical sources (Active Directory, AWS) lacking HR owners.","Total target systems (AWS, AD, SAP, GCP) compromised if single SailPoint identity token is hijacked.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-UAR (User Access Recertification)","Requires IdentityNow API token with 'idn:account:read' scope."
"NEW","SailPoint","Identity Governance","Access Profiles & Entitlement Bundles","ProfileID, ProfileName, EntitlementsList, SourceID, OwnerID, EnabledState, CompositeRoles","API Call: GET https://tenant.api.identitynow.com/v3/access-profiles && GET /v3/roles","JSON","Access Profiles, Entitlement Bundles, Source IDs, Role definitions, Owner Identities","API: GET /v3/access-profiles & GET /v3/roles","sailpoint_access_profiles","profile_id VARCHAR(128) PRIMARY KEY, profile_name VARCHAR(128), source_id VARCHAR(128), owner_id VARCHAR(128), entitlements_list JSONB, is_enabled BOOLEAN","Identify Access Profiles combining conflicting toxic entitlements (e.g. Accounts Payable + Payment Release).","Total downstream enterprise entitlements granted across all identities assigned a breached Access Profile.","T1098 (Account Manipulation), T1078 (Valid Accounts)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Requires 'idn:access-profile:read' API scope."
"NEW","Active Directory","Domain Architecture","AD Computer Objects & Domain Trusts","ComputerName, OperatingSystem, IPv4Address, ServicePrincipalNames, ManagedBy, TrustType, TargetDomainName","Get-ADComputer -Filter * -Properties IPv4Address, OperatingSystem, ServicePrincipalNames, ManagedBy && Get-ADDomainTrust","JSON / CSV","AD Computer objects, OS versions, IP addresses, SPNs, Domain Trusts (Forest/External, Transitive/Non-transitive)","PowerShell: Get-ADComputer -Filter * -Properties IPv4Address... | ConvertTo-Json && Get-ADDomainTrust | ConvertTo-Json","ad_computers_trusts","computer_name VARCHAR(128) PRIMARY KEY, os_name VARCHAR(128), ip_address VARCHAR(32), spns JSONB, domain_trust_target VARCHAR(128), trust_direction VARCHAR(32), is_transitive BOOLEAN","Identify unpatched domain computers or domain trusts allowing SID filtering bypass across domain forests.","Count of joined workstations, servers, and connected domain forests accessible via compromised domain trust.","T1484 (Domain Policy Modification), T1190 (Exploit Public-Facing Application)","D3-SPH (System Policy Hardening), D3-IAM (Identity & Access Management)","Requires Active Directory PowerShell module installed on collector host."
"CHANGED","Active Directory","Identity & Access Management","User Attributes & Service Principal Names","SamAccountName, DN, Enabled, PasswordLastSet, PasswordNeverExpires, AdminCount, SidHistory, SPNs","Get-ADUser -Filter * -Properties MemberOf, PasswordLastSet, PasswordNeverExpires, AdminCount, SidHistory, ServicePrincipalName","JSON / CSV","SamAccountName, DN, Enabled, PasswordLastSet, PasswordNeverExpires, LastLogonDate, AdminCount, SidHistory, SPNs","PowerShell: Get-ADUser -Filter * -Properties MemberOf, PasswordLastSet, AdminCount, SidHistory, ServicePrincipalName | ConvertTo-Json","ad_users","sam_account_name VARCHAR(128) PRIMARY KEY, dn VARCHAR(512), enabled BOOLEAN, password_last_set TIMESTAMP, password_never_expires BOOLEAN, admin_count INT, sid_history JSONB, spns JSONB, member_of JSONB","Scan for active accounts with 'PasswordNeverExpires = True' or Kerberoastable service accounts with SPNs set.","Calculate administrative blast radius via 'AdminCount = 1', SidHistory cross-domain rights, and SPN Kerberoasting.","T1078 (Valid Accounts), T1558.003 (Kerberoasting), T1069 (Group Discovery)","D3-IAM (Identity & Access Management), D3-PMP (Password Management Policy)","Added 'admin_count', 'sid_history', and 'spns' to identify high-value targets."
